session_id,point_no,latitude,longitude,accuracy_m,speed_kmh,heading_deg,direction,timestamp
1,1,14.0394272,100.6145527,100.0,0.00,0,N,2026-02-03T19:48:21.089359
1,2,14.0395883,100.6147217,4.3,0.30,0,N,2026-02-03T19:48:22.298452
1,3,14.0395317,100.61472,4.2,0.35,0,N,2026-02-03T19:48:22.801302
1,4,14.0395233,100.614745,3.9,0.55,186,S,2026-02-03T19:48:23.338898
1,5,14.0395217,100.6147417,3.7,0.68,197,S,2026-02-03T19:48:23.861355
1,6,14.0395333,100.61472,3.5,1.76,181,S,2026-02-03T19:48:24.389403
1,7,14.0395233,100.6147033,3.4,3.14,202,S,2026-02-03T19:48:25.338487
1,8,14.0395167,100.61469,3.3,3.97,202,S,2026-02-03T19:48:26.337385
1,9,14.0395067,100.61468,4.5,4.41,180,S,2026-02-03T19:48:27.306642
1,10,14.0394883,100.6146883,4.3,5.18,161,S,2026-02-03T19:48:28.308038
1,11,14.039465,100.6146917,4.3,5.04,178,S,2026-02-03T19:48:29.320468
1,12,14.0394417,100.6146917,4.3,5.70,186,S,2026-02-03T19:48:30.310975
1,13,14.0394283,100.6146883,4.2,5.36,186,S,2026-02-03T19:48:31.329864
1,14,14.0394283,100.6146883,10.9,0.00,0,N,2026-02-03T19:48:32.457490
1,15,14.0393783,100.614695,9.4,5.09,176,S,2026-02-03T19:48:33.763019
1,16,14.0393683,100.614695,9.3,5.07,169,S,2026-02-03T19:48:34.756316
1,17,14.0393533,100.614695,9.3,5.19,181,S,2026-02-03T19:48:35.764657
1,18,14.039335,100.6146883,9.2,6.53,195,S,2026-02-03T19:48:36.754069
1,19,14.039315,100.6146833,2.2,7.18,198,S,2026-02-03T19:48:37.761696
1,20,14.0392933,100.6146917,2.1,8.05,178,S,2026-02-03T19:48:38.751741
1,21,14.0392933,100.6146917,6.8,0.00,0,N,2026-02-03T19:48:39.513473
1,22,14.039255,100.6147117,6.1,8.40,179,S,2026-02-03T19:48:40.767134
1,23,14.039245,100.6147183,6.1,5.89,164,S,2026-02-03T19:48:41.765652
1,24,14.03924,100.6147167,6.1,6.45,170,S,2026-02-03T19:48:42.762388
1,25,14.0392383,100.6147133,6.1,6.14,183,S,2026-02-03T19:48:43.766229
1,26,14.0392333,100.6147033,2.1,5.92,237,SW,2026-02-03T19:48:44.761325
1,27,14.0392317,100.6146967,2.2,5.63,264,W,2026-02-03T19:48:45.769333
1,28,14.0392317,100.6146967,7.7,0.00,0,N,2026-02-03T19:48:46.648232
1,29,14.0392267,100.6146567,7.0,5.04,274,W,2026-02-03T19:48:47.785506
1,30,14.0392267,100.614625,7.0,4.76,276,W,2026-02-03T19:48:48.779010
1,31,14.0392267,100.6145883,7.1,4.53,281,W,2026-02-03T19:48:49.732462
1,32,14.0392267,100.61456,7.1,4.55,274,W,2026-02-03T19:48:50.742129
1,33,14.0392233,100.61453,2.4,4.79,269,W,2026-02-03T19:48:51.733054
1,34,14.0392167,100.6145,2.4,5.17,268,W,2026-02-03T19:48:52.769070
1,35,14.03921,100.6144633,2.4,5.82,260,W,2026-02-03T19:48:53.741792
1,36,14.0391983,100.61443,2.4,6.41,247,SW,2026-02-03T19:48:54.776865
1,37,14.0391983,100.61443,8.5,0.00,0,N,2026-02-03T19:48:55.696590
1,38,14.0391917,100.6143533,7.6,7.65,262,W,2026-02-03T19:48:56.787203
1,39,14.03919,100.6143217,7.7,8.06,262,W,2026-02-03T19:48:57.765226
1,40,14.03919,100.6142883,7.7,8.41,267,W,2026-02-03T19:48:58.749363
1,41,14.0391933,100.614255,7.7,8.41,264,W,2026-02-03T19:48:59.730040
1,42,14.039195,100.6142267,2.5,8.34,263,W,2026-02-03T19:49:00.761125
1,43,14.03919,100.6141933,2.5,8.23,255,W,2026-02-03T19:49:01.719404
1,44,14.0391933,100.6141433,2.5,8.36,251,W,2026-02-03T19:49:02.742454
1,45,14.0391933,100.6140917,2.4,8.36,256,W,2026-02-03T19:49:03.752615
1,46,14.03919,100.6140467,2.4,8.44,257,W,2026-02-03T19:49:04.775344
1,47,14.0391867,100.614005,2.3,8.53,261,W,2026-02-03T19:49:05.777854
1,48,14.039185,100.6139633,2.3,8.50,264,W,2026-02-03T19:49:06.775091
1,49,14.0391833,100.61392,2.3,8.64,260,W,2026-02-03T19:49:07.741504
1,50,14.0391783,100.6138817,2.2,8.77,258,W,2026-02-03T19:49:08.777812
1,51,14.03918,100.6138467,2.2,8.91,264,W,2026-02-03T19:49:09.795541
1,52,14.0391783,100.61381,2.1,9.02,257,W,2026-02-03T19:49:10.792187
1,53,14.0391767,100.613775,2.1,9.24,259,W,2026-02-03T19:49:11.786422
1,54,14.0391733,100.6137383,2.1,9.39,268,W,2026-02-03T19:49:12.813668
1,55,14.0391733,100.6137067,2.1,9.41,269,W,2026-02-03T19:49:13.804170
1,56,14.0391783,100.6136767,2.1,9.32,280,W,2026-02-03T19:49:14.741140
1,57,14.0391833,100.613645,2.1,9.18,284,W,2026-02-03T19:49:15.800389
1,58,14.0391917,100.6136167,2.1,9.19,285,W,2026-02-03T19:49:16.825122
1,59,14.0391967,100.6135917,2.1,8.92,284,W,2026-02-03T19:49:17.770318
1,60,14.0392,100.6135667,2.1,8.57,283,W,2026-02-03T19:49:18.777672
1,61,14.0392067,100.61355,2.2,8.27,278,W,2026-02-03T19:49:19.751017
1,62,14.0392133,100.6135317,2.2,7.99,270,W,2026-02-03T19:49:20.762233
1,63,14.039215,100.6135217,2.3,7.36,266,W,2026-02-03T19:49:21.751303
1,64,14.0392183,100.6135133,2.3,6.53,299,NW,2026-02-03T19:49:22.787258
1,65,14.0392217,100.6135033,2.3,5.77,344,N,2026-02-03T19:49:23.757943
2,1,14.0391101,100.6133495,13.4,0.00,0,N,2026-02-03T19:49:33.551688
2,2,14.039165,100.6134217,8.8,0.00,0,N,2026-02-03T19:49:34.297658
2,3,14.0391617,100.61342,7.3,0.00,0,N,2026-02-03T19:49:34.776851
2,4,14.0391583,100.6134183,6.6,0.00,0,N,2026-02-03T19:49:35.259640
2,5,14.0392,100.6134833,6.1,1.81,185,S,2026-02-03T19:49:36.264482
2,6,14.039135,100.61339,5.7,3.27,194,S,2026-02-03T19:49:37.261250
2,7,14.03912,100.613415,4.0,3.99,228,SW,2026-02-03T19:49:38.266343
2,8,14.03912,100.613415,6.5,0.00,0,N,2026-02-03T19:49:38.799995
2,9,14.0391083,100.6133767,6.1,4.67,243,SW,2026-02-03T19:49:39.253143
2,10,14.0391117,100.613355,6.1,4.44,257,W,2026-02-03T19:49:40.247890
2,11,14.0391217,100.6133317,5.9,3.65,303,NW,2026-02-03T19:49:41.275718
2,12,14.03913,100.613315,5.7,4.32,290,W,2026-02-03T19:49:42.316627
2,13,14.039135,100.61329,5.5,6.58,269,W,2026-02-03T19:49:43.260902
2,14,14.0391383,100.613265,2.7,5.45,261,W,2026-02-03T19:49:44.281373
2,15,14.0391467,100.6132483,2.7,6.49,254,W,2026-02-03T19:49:45.249936
2,16,14.03915,100.6132517,2.6,4.78,273,W,2026-02-03T19:49:46.264351
2,17,14.0391633,100.613225,2.5,6.51,279,W,2026-02-03T19:49:47.753117
2,18,14.0391733,100.6132,2.5,6.92,270,W,2026-02-03T19:49:48.809385
2,19,14.0391767,100.6131683,2.5,7.45,261,W,2026-02-03T19:49:49.768457
2,20,14.0391767,100.6131383,2.5,8.07,251,W,2026-02-03T19:49:50.771113
2,21,14.039165,100.613105,2.5,9.50,254,W,2026-02-03T19:49:51.749044
2,22,14.0391567,100.6130733,2.4,9.79,256,W,2026-02-03T19:49:52.752415
2,23,14.0391533,100.6130433,2.4,9.64,265,W,2026-02-03T19:49:53.767403
2,24,14.03916,100.6130133,2.3,7.83,270,W,2026-02-03T19:49:54.737287
2,25,14.0391617,100.6129817,2.3,8.11,272,W,2026-02-03T19:49:55.751911
2,26,14.0391633,100.61295,2.2,8.48,291,W,2026-02-03T19:49:56.765171
2,27,14.0391667,100.6129167,2.2,8.74,288,W,2026-02-03T19:49:57.774258
2,28,14.0391633,100.6128883,2.2,8.85,278,W,2026-02-03T19:49:58.799104
2,29,14.0391533,100.6128533,2.2,8.89,275,W,2026-02-03T19:49:59.729191
2,30,14.039155,100.6128233,2.2,8.91,278,W,2026-02-03T19:50:00.737540
2,31,14.0391517,100.6128033,2.3,8.88,278,W,2026-02-03T19:50:01.754994
2,32,14.03915,100.6127817,2.3,8.76,271,W,2026-02-03T19:50:02.787546
2,33,14.039155,100.612755,2.3,8.61,274,W,2026-02-03T19:50:03.736422
2,34,14.0391567,100.61272,2.3,8.54,277,W,2026-02-03T19:50:04.751708
2,35,14.0391617,100.6126917,2.3,8.51,270,W,2026-02-03T19:50:05.760206
2,36,14.0391683,100.6126583,2.2,8.61,268,W,2026-02-03T19:50:06.785448
2,37,14.0391783,100.612625,2.2,8.66,266,W,2026-02-03T19:50:07.753793
2,38,14.039195,100.6125967,2.2,8.85,279,W,2026-02-03T19:50:08.764530
2,39,14.0392,100.6125717,2.2,9.01,270,W,2026-02-03T19:50:09.743295
2,40,14.0392017,100.6125467,2.1,9.03,274,W,2026-02-03T19:50:10.767949
2,41,14.0392017,100.61252,2.1,9.00,276,W,2026-02-03T19:50:11.744514
2,42,14.0392,100.6124883,2.1,9.19,270,W,2026-02-03T19:50:12.765528
2,43,14.039195,100.6124567,2.1,9.47,272,W,2026-02-03T19:50:13.786430
2,44,14.039195,100.6124283,2.1,9.64,280,W,2026-02-03T19:50:14.753572
2,45,14.0391967,100.6123983,2.2,9.74,283,W,2026-02-03T19:50:15.769687
2,46,14.0391933,100.612355,2.2,9.92,268,W,2026-02-03T19:50:16.773903
2,47,14.039185,100.61232,2.2,10.21,265,W,2026-02-03T19:50:17.789514
2,48,14.03918,100.6122883,2.2,10.42,263,W,2026-02-03T19:50:18.739662
2,49,14.0391733,100.6122617,2.2,10.46,260,W,2026-02-03T19:50:19.765978
2,50,14.0391683,100.6122333,2.3,10.63,262,W,2026-02-03T19:50:20.766539
2,51,14.0391567,100.6122017,2.3,10.66,265,W,2026-02-03T19:50:21.753452
2,52,14.0391583,100.6121683,2.3,10.47,262,W,2026-02-03T19:50:22.814048
2,53,14.0391433,100.6121383,2.3,10.29,262,W,2026-02-03T19:50:23.755430
2,54,14.03913,100.6121117,2.2,10.01,270,W,2026-02-03T19:50:24.769065
2,55,14.0391217,100.6120983,2.2,9.43,270,W,2026-02-03T19:50:25.745719
2,56,14.0391217,100.61208,2.1,8.69,262,W,2026-02-03T19:50:26.761838
2,57,14.0391183,100.61207,2.0,7.60,268,W,2026-02-03T19:50:27.753730
2,58,14.039115,100.612065,2.0,6.53,267,W,2026-02-03T19:50:28.809465
3,1,14.03912,100.6121167,4.3,0.00,0,N,2026-02-03T19:50:36.267643
3,2,14.0391133,100.6120683,4.3,0.32,0,N,2026-02-03T19:50:36.754916
3,3,14.039095,100.612065,4.1,0.93,256,W,2026-02-03T19:50:37.307656
3,4,14.0390783,100.61205,3.9,1.64,271,W,2026-02-03T19:50:37.781695
