session_id,point_no,latitude,longitude,accuracy_m,speed_kmh,heading_deg,direction,timestamp
1,1,14.0395915,100.6146832,32.7,0.00,0,N,2026-02-03T19:23:32.739320
1,2,14.0395917,100.6145545,20.3,3.30,299,NW,2026-02-03T19:23:33.926959
1,3,14.0395662,100.6146227,15.8,2.60,292,W,2026-02-03T19:23:34.417202
1,4,14.0395602,100.6146897,13.4,2.06,227,SW,2026-02-03T19:23:35.431610
1,5,14.0395353,100.6147636,11.5,3.03,194,S,2026-02-03T19:23:36.421806
1,6,14.039476,100.6148082,5.7,4.73,185,S,2026-02-03T19:23:37.441307
1,7,14.0394284,100.6147964,5.0,8.07,178,S,2026-02-03T19:23:38.755494
1,8,14.0393885,100.6147841,3.8,9.49,183,S,2026-02-03T19:23:39.779599
1,9,14.0393523,100.6147748,3.3,7.55,194,S,2026-02-03T19:23:40.782334
1,10,14.0393292,100.614763,3.0,9.81,198,S,2026-02-03T19:23:41.770523
1,11,14.0393023,100.6147494,2.6,10.31,202,S,2026-02-03T19:23:42.743576
1,12,14.039277,100.6147371,2.6,9.74,204,SW,2026-02-03T19:23:43.759771
1,13,14.0392564,100.6147225,2.4,7.82,196,S,2026-02-03T19:23:44.765382
1,14,14.0392354,100.6147195,2.3,8.88,206,SW,2026-02-03T19:23:45.763569
1,15,14.0392418,100.6147193,2.6,8.30,206,SW,2026-02-03T19:23:46.259538
1,16,14.0392445,100.6147221,2.9,6.44,101,E,2026-02-03T19:23:46.761830
1,17,14.0392212,100.6146913,3.0,10.12,241,SW,2026-02-03T19:23:47.266187
1,18,14.0392115,100.6146706,3.2,9.94,247,SW,2026-02-03T19:23:47.785049
1,19,14.0392009,100.6146353,3.2,10.34,258,W,2026-02-03T19:23:48.763702
1,20,14.0391942,100.6145988,3.3,11.29,263,W,2026-02-03T19:23:49.424060
1,21,14.0391914,100.6145751,3.3,12.23,265,W,2026-02-03T19:23:50.093592
1,22,14.0391896,100.6145535,3.3,12.08,266,W,2026-02-03T19:23:50.793058
1,23,14.0391849,100.6145315,3.5,12.11,264,W,2026-02-03T19:23:51.310001
1,24,14.0391789,100.6145084,3.5,12.05,264,W,2026-02-03T19:23:51.973549
1,25,14.039175,100.6144896,3.7,11.96,263,W,2026-02-03T19:23:52.536179
1,26,14.0391671,100.6144674,3.9,11.64,262,W,2026-02-03T19:23:53.210442
1,27,14.0391636,100.6144538,4.0,11.53,261,W,2026-02-03T19:23:53.772214
1,28,14.0391561,100.6144295,4.2,11.32,261,W,2026-02-03T19:23:54.429476
1,29,14.0391486,100.6144053,4.5,11.27,260,W,2026-02-03T19:23:55.088367
1,30,14.0391451,100.6143867,4.6,11.27,260,W,2026-02-03T19:23:55.765126
1,31,14.0391432,100.6143707,4.7,11.13,260,W,2026-02-03T19:23:56.207945
1,32,14.0391408,100.6143555,4.8,11.14,260,W,2026-02-03T19:23:56.774703
1,33,14.0391388,100.6143316,4.8,10.92,260,W,2026-02-03T19:23:57.484504
1,34,14.0391377,100.6143178,4.8,10.70,260,W,2026-02-03T19:23:58.009141
1,35,14.0391347,100.6142989,4.8,10.63,260,W,2026-02-03T19:23:58.763265
1,36,14.0391322,100.6142795,4.8,10.37,260,W,2026-02-03T19:23:59.386976
1,37,14.0391305,100.614263,4.8,10.09,261,W,2026-02-03T19:24:00.041397
1,38,14.0391286,100.6142468,4.9,9.97,261,W,2026-02-03T19:24:00.762130
1,39,14.0391311,100.6142247,4.9,9.63,263,W,2026-02-03T19:24:01.548156
1,40,14.0391374,100.6142037,4.9,9.43,266,W,2026-02-03T19:24:02.246676
1,41,14.0391397,100.6141907,5.0,9.35,267,W,2026-02-03T19:24:02.725426
1,42,14.0391491,100.6141725,5.0,9.30,270,W,2026-02-03T19:24:03.227346
1,43,14.0391531,100.6141575,5.1,9.30,271,W,2026-02-03T19:24:03.724407
1,44,14.0391677,100.6141316,5.1,9.51,275,W,2026-02-03T19:24:04.329907
1,45,14.039181,100.6141062,5.1,9.75,278,W,2026-02-03T19:24:04.861472
1,46,14.0391882,100.6140853,5.2,9.85,279,W,2026-02-03T19:24:05.464240
1,47,14.0392119,100.6140418,5.4,10.44,283,W,2026-02-03T19:24:06.060463
1,48,14.039218,100.6140257,5.6,10.52,283,W,2026-02-03T19:24:06.772850
1,49,14.0392339,100.6139842,5.8,11.17,283,W,2026-02-03T19:24:07.751860
1,50,14.0392455,100.6139458,6.1,11.60,283,W,2026-02-03T19:24:08.769317
1,51,14.0392521,100.6139269,6.2,12.18,284,W,2026-02-03T19:24:09.232721
1,52,14.0392568,100.6139099,6.6,12.14,284,W,2026-02-03T19:24:09.682899
1,53,14.0392626,100.6138903,6.9,12.88,283,W,2026-02-03T19:24:10.148831
1,54,14.0392674,100.6138708,7.1,12.88,282,W,2026-02-03T19:24:10.784380
1,55,14.0392784,100.6138275,7.8,13.69,282,W,2026-02-03T19:24:11.613606
1,56,14.0392825,100.6138069,8.4,14.35,282,W,2026-02-03T19:24:12.134827
1,57,14.0392861,100.6137866,8.6,14.24,282,W,2026-02-03T19:24:12.780358
1,58,14.0392939,100.6137454,9.5,14.71,282,W,2026-02-03T19:24:13.778205
1,59,14.0393034,100.6137038,10.5,14.72,283,W,2026-02-03T19:24:14.777517
1,60,14.0393133,100.6136641,11.8,14.37,284,W,2026-02-03T19:24:15.777383
1,61,14.0392364,100.6135273,12.1,11.69,75,E,2026-02-03T19:24:16.790300
1,62,14.0392191,100.6135293,12.0,14.27,129,SE,2026-02-03T19:24:17.816543
1,63,14.0391941,100.6134777,11.2,8.84,209,SW,2026-02-03T19:24:18.777621
1,64,14.0391629,100.6134771,9.6,10.42,194,S,2026-02-03T19:24:19.754109
2,1,14.0389668,100.6134386,46.7,13.14,135,SE,2026-02-03T19:24:29.012983
2,2,14.038995,100.6134704,48.3,11.83,129,SE,2026-02-03T19:24:30.012462
2,3,14.0391864,100.6134744,37.4,6.53,119,SE,2026-02-03T19:24:30.483889
2,4,14.0391941,100.6134769,31.0,5.52,113,SE,2026-02-03T19:24:31.003931
2,5,14.0391984,100.6134707,26.4,0.47,171,S,2026-02-03T19:24:31.483793
2,6,14.0392004,100.6134663,23.3,2.64,96,E,2026-02-03T19:24:32.497825
2,7,14.0392043,100.6134334,20.7,1.54,63,NE,2026-02-03T19:24:33.740999
2,8,14.0392103,100.6134169,10.4,0.92,350,N,2026-02-03T19:24:34.757524
2,9,14.0392157,100.6134066,3.3,1.42,322,NW,2026-02-03T19:24:35.811338
2,10,14.0392212,100.6133979,2.7,2.04,288,W,2026-02-03T19:24:36.756760
2,11,14.0392232,100.6133947,2.1,3.17,280,W,2026-02-03T19:24:37.760163
2,12,14.0392235,100.6133867,2.1,3.45,278,W,2026-02-03T19:24:38.789913
2,13,14.0392235,100.6133754,2.1,4.16,264,W,2026-02-03T19:24:39.723857
2,14,14.0392189,100.6133621,2.0,5.44,262,W,2026-02-03T19:24:40.770396
2,15,14.0392181,100.6133512,2.0,6.06,277,W,2026-02-03T19:24:41.731020
2,16,14.0392172,100.6133351,2.0,5.90,270,W,2026-02-03T19:24:42.741160
2,17,14.0392168,100.6133144,2.0,3.67,293,NW,2026-02-03T19:24:43.752651
2,18,14.03922,100.6133051,2.0,3.83,282,W,2026-02-03T19:24:44.771448
2,19,14.0392147,100.6132908,2.0,3.93,272,W,2026-02-03T19:24:45.732045
2,20,14.039215,100.613273,2.0,4.28,267,W,2026-02-03T19:24:46.755336
2,21,14.0392121,100.6132546,2.0,5.29,262,W,2026-02-03T19:24:47.812452
2,22,14.03921,100.6132275,2.0,4.98,250,W,2026-02-03T19:24:48.764872
2,23,14.0392098,100.6132236,2.3,2.50,93,E,2026-02-03T19:24:49.739010
2,24,14.0392109,100.6132138,7.0,6.13,90,E,2026-02-03T19:24:50.508954
2,25,14.0392143,100.6132235,13.5,5.03,282,W,2026-02-03T19:24:51.624923
2,26,14.0392234,100.6131713,16.0,4.62,284,W,2026-02-03T19:24:52.175022
2,27,14.0392269,100.6131503,15.8,4.62,284,W,2026-02-03T19:24:52.745864
2,28,14.0392328,100.6130992,15.9,5.40,282,W,2026-02-03T19:24:53.737214
2,29,14.039238,100.6130649,16.0,6.88,281,W,2026-02-03T19:24:54.744427
2,30,14.039241,100.6130326,13.9,8.00,279,W,2026-02-03T19:24:55.769377
2,31,14.0392422,100.6129971,7.9,9.05,277,W,2026-02-03T19:24:56.756573
2,32,14.0392378,100.612943,4.5,9.76,272,W,2026-02-03T19:24:57.728197
2,33,14.0392374,100.6128914,3.2,10.62,273,W,2026-02-03T19:24:58.744604
2,34,14.0392396,100.6128484,3.2,11.19,273,W,2026-02-03T19:24:59.753497
2,35,14.0392431,100.6128167,3.2,11.37,274,W,2026-02-03T19:25:00.770843
2,36,14.0392441,100.6127995,3.2,11.43,274,W,2026-02-03T19:25:01.309215
2,37,14.0392461,100.6127756,3.1,11.32,274,W,2026-02-03T19:25:02.092300
2,38,14.0392478,100.6127585,3.1,11.31,276,W,2026-02-03T19:25:02.761989
2,39,14.0392433,100.6127458,3.0,11.30,273,W,2026-02-03T19:25:03.208795
2,40,14.0392431,100.6127295,3.0,11.29,273,W,2026-02-03T19:25:03.729211
2,41,14.0392361,100.6127095,3.0,11.38,270,W,2026-02-03T19:25:04.407946
2,42,14.0392242,100.6126856,3.0,11.38,266,W,2026-02-03T19:25:05.108430
2,43,14.0392194,100.612669,3.0,11.38,266,W,2026-02-03T19:25:05.583999
